"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"1","1",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0285484656025932,-0.0287874634843688,-0.0288113737845705,-0.0280037937803006,-0.0259629380310358,-0.0225707914992486,-0.0179821448973543,-0.0126953255355116,-0.00740845802118373,-0.00259653621596567,0.0016488681543867,0.0052201093891604,0.00764510862406609,0.00842765433567516,0.00763582322389333,0.00584483723631601,0.00354686793894432,0.000982337860178761,-0.00141662405151344,-0.00288747171204773,-0.0029433332308304,-0.00184052195680962,-0.000140359264736434,0.00191097433670739,0.00408895864741665,0.00542504890083317,0.00442821818743444,0.000446153380694314,-0.00545586536718501,-0.0112464101944469,-0.015397452019638,-0.0174823146265175,-0.0177380068347088,-0.0166132147255429,-0.0147310945071533,-0.012736108638622,-0.0108299798799887,-0.00863854766475414,-0.00575063381575558,-0.00224054589478406,0.0015380522867372,0.00550863919190725,0.00991076800704538,0.0148077586851152,0.0198611457676867,0.0246890765415204,0.0291838039800409,0.033269204020804,0.0365365386041052,0.0384676706508176,0.0390708264415724,0.0390282260825057
"10","2",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032226829328673,0.0927168872170706,0.19779642791232,0.2838631510868,0.335016481658849,0.351256419628191,0.332582964995167,0.278996117759517,0.190495877921385,0.0703702438673621,-0.0547262029841682,-0.116845172043048,-0.0663184579582301,0.0610717080271945,0.160264535334919,0.150673601896169,0.047285815581916,-0.0666727032022609,-0.127269117325608,-0.137286347827082,-0.132815033228808,-0.125723365915535,-0.0943025275339178,-0.0229717912707292,0.0667897136782141,0.131135582949333,0.141469361671342,0.102483434615412,0.0405631709325627,-0.0157090120950345,-0.0461601457720078,-0.0440721821253858,-0.0202951248160665,0.00121660104005783,0.00144891761994392,-0.0163334500758265,-0.0304249529942155,-0.0241170454797521,-0.00281181136917819,0.0145439859908967,0.0178888029873456,0.0142995628405853
"100","3",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0207180237623015,-0.0203232456322717,-0.018289225003572,-0.0142828458308264,-0.00991988199852667,-0.00695867419550034,-0.00514047947584384,-0.00278199244649002,0.000824524993463971,0.00466108047972558,0.00761671930005425,0.0097289440326862,0.0113172925420231,0.0118566724230962,0.0107008418392684,0.00849234525648335,0.00673230259416036,0.00580912291418745,0.00435757312941387,0.00107018892187316,-0.00339811408381108,-0.00689101429277583,-0.00781031538388843,-0.00618552394379845,-0.00294075852726738,0.00111837775417767,0.00534804082994889,0.00887716510907532,0.0107482401027523,0.0104312871325831,0.00799440601808987,0.0039069015706823,-0.0010493094152384,-0.00577994649019065,-0.0092052670986007,-0.0107676068811218,-0.010443760409431,-0.00821555110054062,-0.00390889689250784,0.00206184502448004,0.00796472850804664,0.0113808152871484,0.0109917250987808,0.007672618834623,0.00359043708509565,0.000267891468509251,-0.002274294109891,-0.00460654624632006,-0.00666665741994477,-0.00781684841566976,-0.00788027313506356,-0.00754401130453086
"1000","4",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0155454923254379,-0.0154909263152117,-0.0153386293035691,-0.0150199631798091,-0.0144624340771176,-0.0136412289966426,-0.012608368875729,-0.0114515292530577,-0.0102254753077349,-0.00893506967477009,-0.00757821568520933,-0.00618570587588474,-0.00481561643844897,-0.0035225067891469,-0.00233607531071423,-0.00125740385617856,-0.000270738541045867,0.000629677483784175,0.00141884832036765,0.00206006692125449,0.00255363618565063,0.00295147099336468,0.00330344024876017,0.00359241505345009,0.0037368109953253,0.00365184175413558,0.00329051606338049,0.00263541416416113,0.00169718199512592,0.000555032581462278,-0.000620591243470914,-0.00163321364850599,-0.00237299936551172,-0.00285989430219757,-0.00317448894293926,-0.00336359630347682,-0.0034217134569885,-0.0033403849145941,-0.00313800302222811,-0.00282857755781762,-0.00238217531412888,-0.00174459964269347,-0.000908235489321507,3.90906374752031e-05,0.000938557563918696,0.00163388901895645,0.00203016898440267,0.0021075938110704,0.00191379096343569,0.00156151064778953,0.00121331021363402,0.00101435708919007
"1001","5",36,1,NA,NA,NA,NA,NA,NA,NA,-0.0454195776478361,-0.04585439129528,-0.0461726535839555,-0.0453657288483247,-0.0425167558130389,-0.0372975575266581,-0.0301328738653402,-0.0219483910869006,-0.0135955454916336,-0.00540767336368575,0.00260734628088732,0.0101045544655051,0.0161106517385566,0.0195603659378039,0.0200406472313595,0.0178783717535248,0.0136758351623508,0.00811478563064671,0.00223490118633529,-0.00253807162714903,-0.00507291758217376,-0.00528946257996898,-0.00409546258837046,-0.0025686419377513,-0.00128464252095883,-0.000384678752297529,-9.60734957684561e-05,-0.00101025011159739,-0.00371053014337952,-0.00795325261222057,-0.0121575352105295,-0.0139684072825552,-0.0117733968540974,-0.00593356569768799,0.00146262999075497,0.00805921114349462,0.012456921092063,0.0143035182681654,0.0137776806515084,0.01136021307383,0.00790223158040859,0.00444228118982171,0.00172655826566204,-8.85125070753112e-05,-0.0013436072155798,-0.00259728530937009,-0.00425228790461041,-0.00610824568478874,-0.00728584252840814,-0.0069925376173573,-0.00555336640416904,-0.00432090514680505
"1002","6",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0253253173333785,-0.0386059526364073,-0.0564147642495201,-0.0675190006252755,-0.0717571062213258,-0.0788813199338583,-0.0919076999128933,-0.0969755633009813,-0.0760765394904807,-0.0295060696249153,0.0208514130687559,0.0534020189693279,0.0664400076192729,0.0710616591956075,0.0701484745720101,0.0548575528884786,0.0229849600336979,-0.00960469544727749,-0.023641497410567,-0.0182498313174402,-0.0101596663502662,-0.0117927475153441,-0.0171074185193338,-0.01101367157362,0.0126862285549987,0.0457524234595913,0.0731102662082391,0.0813540037327533,0.0634245065143522,0.0228111303009777,-0.0247255021366359,-0.0587811963869165,-0.0685666519676396,-0.0595298342378865,-0.044372405435623,-0.0290368068709589,-0.0102411112014174,0.013972558716293,0.0356973086715152,0.0424885774855626,0.0304241840706632,0.00895757125883001,-0.0082334054848775,-0.0153070232634019,-0.0155336268426006,-0.0125476443544231,-0.00484370924953392,0.00912545843775348,0.023950786883716,0.0305139940539987,0.0267417839224796,0.0207067885310859
"1003","7",53,1,NA,NA,NA,NA,NA,NA,NA,-0.00448887176501467,-0.00448887176501001,-0.00448887176498936,-0.00448887176494095,-0.00448887176486146,-0.00448887176475155,-0.00448887176460699,-0.00448887176442558,-0.00448887176420776,-0.00448887176396284,-0.00448887176369794,-0.00448887176342683,-0.00448887176315771,-0.0044888717628957,-0.00448887176264634,-0.00448887176240897,-0.00448887176218027,-0.00448887176195778,-0.00448887176173884,-0.00448887176152346,-0.00448887176130919,-0.00448887176110202,-0.00448887176090129,-0.00448887176070834,-0.00448887176052315,-0.00448887176034751,-0.00448887176018964,-0.00448887176005686,-0.00448887175995494,-0.00448887175988011,-0.00448887175982071,-0.00448887175976687,-0.00448887175970791,-0.00448887175964408,-0.00448887175957868,-0.00448887175951251,-0.00448887175944601,-0.0044888717593814,-0.00448887175932278,-0.00448887175927237,-0.00448887175923174,-0.00448887175919954,-0.00448887175917756,-0.00448887175916435,-0.00448887175915369,-0.00448887175913948,-0.0044888717591276,-0.00448887175912083,-0.00448887175912294,-0.0044888717591256,-0.00448887175912283,-0.00448887175911827
"1004","8",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0230966737412084,-0.0231032195457384,-0.0230828811916954,-0.0229881397833884,-0.0227805988006455,-0.0224372023800712,-0.0219520369360191,-0.0213448488356123,-0.0206619682125353,-0.0199613903203997,-0.0193011241653536,-0.0187414250271465,-0.0183359830563194,-0.0180948286480838,-0.0179547856714211,-0.0178041268556104,-0.0175446403018653,-0.0171275802872368,-0.0165420837245729,-0.0157977142995587,-0.0149288045952549,-0.0139910427303755,-0.0130259619077058,-0.0120316912282001,-0.0109882266808015,-0.00991351220836512,-0.00887908152394479,-0.00796347955686083,-0.00719495837392659,-0.00653425574400979,-0.0058953666604975,-0.00517948777783217,-0.00431170936547565,-0.00327034648535807,-0.00208612067924385,-0.000807869140129092,0.000529329429675651,0.00190215680990946,0.00328086366966551,0.0046317500897497,0.00593801948488815,0.00720524364344155,0.00844303480628272,0.00964941126415497,0.0108115221724978,0.0119057495961334,0.0128891553398818,0.0137035575763387,0.0143043119414143,0.0146880842342021,0.014891132874582,0.0149680289372121
"1005","9",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0116492209682555,-0.011650541560092,-0.0116445184913203,-0.0116157373760157,-0.0115446378908166,-0.0114087611897555,-0.0111862504712168,-0.0108641371695775,-0.0104468751412417,-0.00995775973774582,-0.00943098147592125,-0.0088987138066241,-0.00838011523686877,-0.00787798336517964,-0.0073850070082222,-0.00689493735706725,-0.00640939307348276,-0.00593560290546691,-0.00548064621725142,-0.00504997976770549,-0.00464862816600231,-0.00427747452112115,-0.00392615607006919,-0.00357517463581614,-0.00321274798125071,-0.002852051759485,-0.00252900097229447,-0.00227978570554277,-0.00211820489381109,-0.0020309477905549,-0.00199002774938273,-0.00196908785784511,-0.00195304972336663,-0.00193839397244155,-0.00192644425878674,-0.00191612729099844,-0.00190421973323729,-0.00189364371697942,-0.00189861022524451,-0.00193592977251789,-0.00200858266043324,-0.0021001452150613,-0.00218803397155853,-0.00226143689025604,-0.0023248242954319,-0.00238625115104241,-0.00244671485233039,-0.0025016505448523,-0.00254820867304573,-0.00258659844668196,-0.00261534496146032,-0.0026304205323544
"1006","10",36,1,NA,NA,NA,NA,NA,NA,NA,-0.0165048403948045,-0.0165026931405874,-0.0164456292619765,-0.0162752223371921,-0.0159661420968737,-0.015513401893325,-0.0149032935691488,-0.0141182872002271,-0.0131648208361598,-0.0120810880736208,-0.0109208753247365,-0.00974163142780393,-0.0086008739122525,-0.00754212572075164,-0.00657668915196874,-0.00568914799486075,-0.0048630481726627,-0.00409008514183029,-0.00335384853805798,-0.00262322464150311,-0.00187258111665722,-0.00109537238374868,-0.000286379995359631,0.000573519436936842,0.00149016874530472,0.00241448605859784,0.00325029805391663,0.00391688903999587,0.00440229584417839,0.00476110398924268,0.00507795038929226,0.00543651413488699,0.00589936537933866,0.00648959637079083,0.00718601233726912,0.00794517206171985,0.00873255353931923,0.00953402452415075,0.010347266623874,0.0111732165500549,0.0120128831853162,0.0128618947617171,0.0137078598801881,0.0145397448604458,0.0153548569677732,0.0161422862914601,0.0168589069730629,0.0174391691279425,0.0178405656308094,0.0180743128825298,0.0181878823710389,0.0182290877810964
