,ns,qwiki_id,title,wikipedia_id
0,,,Cynothrissa ansorgii,
0,,,Cynothrissa mento,
0,0,Q5567825,尖吻河棱鯡,2948465
0,,,Poecilothrissa moeruensis,
0,0,Q5615126,通巴湖細棱鯡,2946279
0,0,Q6763309,泰國鋸齒鯡,2939724
0,0,Q7213422,縱紋鋸齒鯡,2939770
0,0,Q7700463,阿林氏小公魚,2835514
0,0,Q1909341,圭亞那小公魚,2835659
0,0,Q6423393,簡氏小公魚,2836503
0,0,Q1932930,巴西小公魚,2837012
0,0,Q6423496,伐氏小公魚,2837025
0,0,Q5123967,短颌鲚,1027317
0,0,Q1979229,恆河黃鯽,2840110
0,0,Q3381593,巴布亞棱鯷,2847597
0,,,Cromeria nilotica,
0,0,Q5549376,大耳克奈魚,2861745
0,0,Q6407280,短副克奈氏魚,2862040
0,0,Q2137610,壯象鼻魚,1900255
0,0,Q1031721,大彎頜象鼻魚,1904036
0,,,Hippopotamyrus discorhynchus,
0,0,Q6412673,阿氏異吻象鼻魚,1688599
0,0,Q5933507,安哥拉異吻象鼻魚,1914563
0,,,Mormyrus rume,
0,0,Q6406367,杰氏副長頜魚,2802036
0,,,Petrocephalus catostoma,
0,,,Pollimyrus isidori,
0,,,Stomatorhinus ater,
0,0,Q5809306,諾氏尖鋸脂鯉,3700075
0,0,Q581091,蘇里南吸溪脂鯉,3784207
0,0,Q290368,斑條麗脂鯉,1367231
0,,,Astyanax bimaculatus,
0,0,Q5519245,黑尾石脂鯉,3704678
0,0,Q995191,亞馬遜河石脂鯉,3702308
0,,,Brycon cephalus,
0,0,Q5804245,德氏石脂鯉,3706177
0,,,Brycon erythropterum,
0,0,Q6421140,鐮石脂鯉,3706597
0,0,Q995197,希氏石脂鯉,3706779
0,,,Brycon lundii,
0,0,Q6420829,黑鰭石脂鯉,3706885
0,0,Q6421118,危地馬石脂鯉,3706768
0,0,Q5615630,納氏石脂鯉,3707444
0,0,Q724912,大鱗大鱗脂鯉,3707532
0,0,Q6421190,圭亞那石脂鯉,3707632
0,0,Q6420885,小齒石脂鯉,3706170
0,,,Brycon moorei,
0,0,Q2253196,單線半線脂鯉,3748710
0,,,Hemigrammus caudovittatus,
0,0,Q2710118,鋸腹脂鯉,3806650
0,0,Q582733,刺腹四齒脂鯉,3807163
0,0,Q3767473,希氏小脂鯉,3806109
0,,,Bryconamericus beta,
0,,,Serrasalmus brandti,
0,,,Serrasalmus spilopleura,
0,0,Q5627612,銀犬齒河脂鯉,3710929
0,0,Q5694628,亞馬遜泰托脂鯉,3797737
0,0,Q6417235,安芬瑙脂鯉,3733765
0,0,Q4746460,紅銅大鱗脂鯉,3735454
0,0,Q5832889,康得氏桂脂鯉,3709298
0,0,Q5614042,本氏鈎齒脂鯉,3791755
0,0,Q5487464,全脂鯉,3794594
0,0,Q6421709,格氏美鮭脂鯉,3666612
0,0,Q5612789,大鰭吉氏脂鯉,3591956
0,,,Hasemania melanura,
0,,,Hemibrycon dentatus,
0,,,Holoshesthes pequira,
0,0,Q6403495,點斑蜥形脂鯉,3805743
0,0,Q5542708,奇異諾德脂鯉,3796308
0,0,Q5845395,似鳚黑身脂鯉,3667367
0,0,Q5687947,沼澤細身脂鯉,3667429
0,0,Q5592878,中間直線脂鯉,3774025
0,,,Moojenichthys myersi,
0,0,Q357668,彩虹絲尾脂鯉,3805070
0,,,Odontostilbe gracilis,
0,0,Q5513399,貪食寡脂鯉,3778940
0,0,Q2448011,大齒慈脂鯉,3805960
0,0,Q1412206,韋氏雜色脂鯉,3666604
0,0,Q5728932,短棘銀鞍脂鯉,3799402
0,0,Q5536327,嵴腹脂鯉,1373528
0,0,Q6420833,高鰭玫瑰脂鯉,3806040
0,0,Q6416421,圭亞那銹牙脂鯉,3800138
0,,,Roeboides caucae,
0,0,Q5564470,黑斑盾皮脂鯉,3804514
0,0,Q4744525,銀大眼脂鯉,3798230
0,0,Q5532876,鰻形石斧脂鯉,3798735
0,0,Q6421739,哥倫比亞魣脂鯉,3668840
0,0,Q6416578,飾帶稚脂鯉,3611090
0,0,Q6416235,側頭擬上口脂鯉,3609915
0,0,Q6421305,亞馬遜新熱脂鯉,3635603
0,0,Q5526326,祕魯突吻脂鯉,3636577
0,0,Q5660461,帶紋咽無齒脂鯉,3610621
0,0,Q6805418,弗氏兔脂鯉,1368628
0,0,Q6417954,格氏兔脂鯉,3611440
0,0,Q5621094,大頭兔脂鯉,3611710
0,,,Leporinus elongatus,
0,0,Q5913318,科特氏裂齒脂鯉,3628921
0,0,Q4748132,銀棕皺牙脂鯉,3628824
0,0,Q5642431,長頭懶齒鯉,3670297
0,0,Q6421755,孖斑鰓脂鯉,3670301
0,,,Eigenmannina melanopogon,
0,0,Q5775712,銀半齒脂鯉,3670734
0,0,Q6411008,細半齒脂鯉,3671002
0,0,Q6422241,巴拿馬囊齒脂鯉,3594329
0,0,Q5555201,蓬戈河副牙脂鯉,3594294
0,0,Q5860183,長身無牙脂鯉,3670289
0,,,Citharinus gibbosus,
0,,,Citharinus latus,
0,,,Lebiasina astrigata,
0,0,Q2894086,巴拿馬片鱂脂鯉,3688928
0,0,Q3755088,絲鰭翹嘴脂鯉,1373546
0,0,Q2544477,網紋鯪脂鯉,3609710
0,0,Q5396161,瑪麗鯪脂鯉,3609699
0,0,Q6403644,披肩象齒脂鯉,3609269
0,0,Q5523247,似鯿駝背脂鯉,3597710
0,0,Q5608190,側頭川脂鯉,3601419
0,0,Q5536296,密藏短線脂鯉,3597564
0,0,Q531549,亞馬遜刀脂鯉,3601481
0,0,Q6409927,鮑氏擬無齒脂鯉,3602907
0,0,Q5695603,條尾真唇脂鯉,3609756
0,0,Q6406989,瓦氏斯坦達脂鯉,3608912
0,0,Q5595420,似鯉無齒脂鯉,3594759
