"","SpeciesSSet","Freq","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"1","1",53,1,0.000984094021776905,0.00107494365381822,0.00104035229016031,0.00085071434708528,0.000714374569034781,0.000568480310069397,0.000106741076154826,-0.000338591112789999,0.000468053592545203,0.00337596140424967,0.00750149488334095,0.0107740683066355,0.0118340096332119,0.0109614555400821,0.00912223984522509,0.00655446213459143,0.00254974419895326,-0.00343462515750836,-0.0104357867255489,-0.0157988410301311,-0.0168266616582322,-0.0131008345697996,-0.00685981913436162,-0.000524231737717429,0.00568739363366699,0.0126066480525893,0.0188227966146171,0.0203589971144043,0.0147346422216996,0.00429207225801509,-0.00589076322892979,-0.0128347305921617,-0.0170481725673257,-0.0196534447197187,-0.0202641320539216,-0.0183249136266319,-0.0147401718193576,-0.0107449191204969,-0.00614544956624385,-0.000194926418626729,0.00621588852211286,0.0106736436399375,0.0115582618011487,0.0091915846172741,0.00481419585922094,-0.000278156959968356,-0.00445689825808326,-0.00618583234520642,-0.00561433045663051,-0.00474723724469772,-0.00509643152197192,-0.00596901841719344
"10","2",53,1,-0.0291391919835713,-0.032767741709937,-0.0376806863538188,-0.0402160985336566,-0.0388510248929685,-0.0351571736229761,-0.0312013127478934,-0.0267299103298202,-0.0194550804517371,-0.00798178609734457,0.00605310205920118,0.0187900676019805,0.0265779329721461,0.0274891087309277,0.0213240616609995,0.00929404660009947,-0.00603616583143873,-0.0212271591499449,-0.0331655908212103,-0.0400752542914156,-0.0415354126759035,-0.0379255518295727,-0.0300972457893494,-0.0193138165284314,-0.00713833653429807,0.00460453840114328,0.0137148721859106,0.0180276456887136,0.0168235147168752,0.0121061368583928,0.00787795853020068,0.0073978774470822,0.0108401821949906,0.0155609940263468,0.0184808097018927,0.0182168074865348,0.0154090060279781,0.0116054004039809,0.00793782310051117,0.0045066603579591,0.000790333436585966,-0.00330216011763262,-0.00680930484814812,-0.00841392010271091,-0.00795859969899348,-0.00715213535196502,-0.0085430065545371,-0.0136507016701433,-0.0218947358020409,-0.0309843940998888,-0.038207773818995,-0.0418569413816796
"100","3",53,1,-0.0008140014566278,-0.00085922173017261,-0.000952380098822481,-0.00106344517489321,-0.00114106484053433,-0.00116102562506981,-0.00115454872187559,-0.00117363632044221,-0.00122860422004978,-0.0012777952891021,-0.00128746055391993,-0.00128622203829165,-0.00134405655120728,-0.00150715862839546,-0.00177534045869443,-0.00214027670214767,-0.00261384220600469,-0.00319726878706206,-0.00383705745840324,-0.0044365354463296,-0.00491121716468479,-0.00521761285526923,-0.00533304336787754,-0.00523644138191948,-0.00492684301767321,-0.00444840774267652,-0.00387776670571904,-0.00328365630962835,-0.00270148709767404,-0.0021370692104592,-0.00158067854300259,-0.00101795853949205,-0.00043799189864191,0.000165047555160447,0.000797446378711042,0.00146218901542161,0.00213839310657504,0.00277506162783614,0.003328523844075,0.00380748272858877,0.00425777845255393,0.00469492034433827,0.00507793167058379,0.00537052013966255,0.00560671041916194,0.00586215557523406,0.00616554787695645,0.00647091016205747,0.00672043842820003,0.00690058860529463,0.00702279450560139,0.00708591991108598
"1000","4",53,1,0.00927012570224139,0.00605063944051842,0.00218001635136122,0.00101826444196362,0.00300312150590898,0.00527377430396125,0.00485736736853104,0.00137621220955975,-0.00330630446357549,-0.00698033809272669,-0.00788863078455782,-0.00454629358059755,0.0034581260922506,0.0138249856777226,0.021792688689819,0.0233358034231843,0.0182044994114188,0.00925580037642071,-0.000861576276285803,-0.0112324933821073,-0.020821840939933,-0.026741841249633,-0.0260137315333586,-0.0189296428767038,-0.00939534186753699,-0.00149447000882663,0.00355144309183597,0.006736680116191,0.00869468163286236,0.0088867845637246,0.00698896692576412,0.00386213146337822,0.000827281624424803,-0.00123601867091105,-0.00172967642010002,-0.000157602640308507,0.00303054501123068,0.00585688598477008,0.00617786825099698,0.00386326317619989,0.000893763019423677,-0.00104642364797858,-0.00241671188278092,-0.00465475902960666,-0.00758343962487373,-0.00884798744090265,-0.00611296991005794,0.000655938983315618,0.00921840170690835,0.0168531187930436,0.0218862354831137,0.0240772127677058
"1001","5",53,1,0.0636473695030921,0.0757300330888775,0.0668323786697402,0.0123135285489648,-0.0603975328285902,-0.0896766398013003,-0.0474724514002958,0.022833261850518,0.0500624972826076,0.0137187710068756,-0.0362092569980339,-0.0412894897406564,-0.00101878323664684,0.0348374437241601,0.0301993618786383,0.00103249366139035,-0.0107679621197856,0.0131008913567445,0.0509206434513652,0.0658054902245229,0.0403171231722896,-0.00859778691265012,-0.0433819914879492,-0.0381395982358241,-0.00275698953726344,0.0264258812327038,0.0228258515849458,-0.0055162881810964,-0.0280916954842141,-0.0235598240175694,0.00331623992250352,0.0290849981690049,0.030270435920515,0.00199888596638864,-0.0331709056406786,-0.041314054726064,-0.0136037567952592,0.018306652332341,0.0181742688034654,-0.00705446599863757,-0.0160325283264213,0.00784120476838135,0.0318283689654608,0.0229549435387582,-0.00251614805697198,-0.00624133123451509,0.0108639415189811,0.0115149778620185,-0.01441229997444,-0.0292054152183523,-0.00623670323319381,0.0258812478204948
"1002","6",53,1,-0.039621995662825,-0.0396124465726122,-0.0388236385236271,-0.0357871386977,-0.0290401497008528,-0.0183562397392769,-0.00559396247817889,0.00576207158793496,0.0123464309709282,0.0128390397349107,0.00863791929031343,0.00263602479633351,-0.00295337401764639,-0.00770167097209495,-0.0119271962633376,-0.0149258390611544,-0.0149467916868069,-0.0111921700493001,-0.00522912664785058,0.000241043470689872,0.00373524230042022,0.00539370522559568,0.00526473268956162,0.00243372231220818,-0.00342065849745143,-0.010344012930352,-0.0150736531753282,-0.0157237313490226,-0.0129121580044158,-0.00839785659496628,-0.00353056403004337,0.000760703103614757,0.00353052624357231,0.0043470316158889,0.00394030855004313,0.00351502711416618,0.00350199222798908,0.00369769347931048,0.00457155113151919,0.00740940422558967,0.0125671573874249,0.0181955400615954,0.0215089875670771,0.0211844894914721,0.0179113833227287,0.0127764400641759,0.00609594119275814,-0.00172986889604454,-0.00903953228304077,-0.0136927254019965,-0.0151417725366256,-0.0149717565538661
"1003","7",53,1,0.039886531598234,0.0105609149212591,-0.0235849460195769,-0.0346512644603592,-0.0222332574886517,-0.00654113293513747,-0.0002616703629017,-0.000730125127560655,-0.00358886739484054,-0.00856545547567222,-0.0106721011012367,0.000357285506336513,0.0244766741474218,0.0434769498657879,0.0380329926284571,0.0103072265669986,-0.0172134150437429,-0.0252159787988289,-0.015371914405502,-0.00484086454049315,-0.00707464739766683,-0.0190370484236855,-0.0250508917322545,-0.0126417906698997,0.014081957487734,0.0371072833382291,0.0417054143574904,0.0295574652800537,0.0130965114262542,5.29239046986874e-06,-0.0113984768551854,-0.0225708000354214,-0.0281216444775434,-0.0224385429930001,-0.00836374435321741,0.00513201055838008,0.0114118307477247,0.00888378520091804,-0.00141400774280021,-0.0154257760511123,-0.0247288494995876,-0.0219241086626103,-0.00889720845344799,0.00455988305243649,0.0117954698162128,0.0149559137196187,0.0179242652452518,0.0182925708641024,0.0105151406420676,-0.00527221428733249,-0.0216880404376489,-0.0310697268263254
"1004","8",53,1,0.152886534054835,0.114369395839823,0.0511942836322592,-0.00421996575525041,-0.0257735788577769,-0.0137481485707358,0.0102866619743338,0.0243266566845741,0.0203211925314877,0.00342303274097544,-0.0139998339489198,-0.0170508861639176,0.00201907710778837,0.030843044010004,0.0409613825807451,0.0172492586899811,-0.0181659125103946,-0.0251187082214059,0.00658052484261207,0.0400755129966552,0.0325176018631552,-0.0140329268006951,-0.0553758542768867,-0.0561468338040454,-0.0239613665079292,0.00976115016946366,0.0278843302858336,0.0351376165178374,0.0369660245043382,0.0282190254713535,0.00584195153554568,-0.019340360520598,-0.0318757642829564,-0.0281596817533205,-0.0172890996668253,-0.00814787649643423,-0.0020026716938788,0.00271533494147347,0.0049893280282407,0.00361156693925269,0.0011838744007564,0.00167832089950792,0.00487528830087491,0.00618533652401876,0.00237669298382315,-0.00429199554000315,-0.00822390225985314,-0.0056649700551854,0.00266146463273431,0.0128893018152496,0.0209463017323972,0.0248150070881468
"1005","9",53,1,-0.00150770135889378,-0.00150329283282713,-0.00148867566575017,-0.0014560326963613,-0.00139938772513704,-0.00131750815341181,-0.00121328383356523,-0.00109085849643153,-0.000955017927138924,-0.0008126526151917,-0.000670876874653059,-0.000531210339048238,-0.000387670025006726,-0.000233334822782316,-6.76417193745671e-05,0.000105150282920796,0.000282821027424385,0.000466119869211301,0.000652838307152681,0.000835904491153228,0.00101015124104098,0.001178002971296,0.00134517802954615,0.00151236068745786,0.00167415590301956,0.00182505399813349,0.00196285153773501,0.0020863836748628,0.00219390738311454,0.00228578708474481,0.00236684445258861,0.00244417291516741,0.00252310033004788,0.00260529758683115,0.00268875687801606,0.00276858108746758,0.00283983497910634,0.00290146700758998,0.00295619782204248,0.00300515803092827,0.0030446292456916,0.0030708625154896,0.00308711902646586,0.00310273217549484,0.00312494864973978,0.00315405906915478,0.00318623700408582,0.00321747276723916,0.00324353349021944,0.00326001053652369,0.0032660111477707,0.00326624123180497
"1006","10",53,1,-0.0687599870565665,-0.0675800239985489,-0.0642468641714899,-0.0592436133032168,-0.0538951932632767,-0.0472901464561353,-0.036695875287267,-0.0222098101280088,-0.00816176572243421,0.00213486112671668,0.0103164378768783,0.0186247360124989,0.0239122125661115,0.0204405772950369,0.00810914705616295,-0.00674075529252072,-0.0195707744690512,-0.032120256246011,-0.0462858231457168,-0.057536997149459,-0.0584106259754253,-0.0462903340826628,-0.0237752244029645,0.00643729639840873,0.0410234041608519,0.0701672577798167,0.0792232866060723,0.0613908435949579,0.0264662217135241,-0.00706671566474215,-0.0277759049499768,-0.0363861327020765,-0.037467886901462,-0.0320141466536086,-0.0200993901564825,-0.00623476292792269,0.00271559140079769,0.00451979091916144,0.00346920205733969,0.0047594002762541,0.00877539549670336,0.0115207375738653,0.00934248329963672,0.00247018141058186,-0.00519464444105466,-0.00903588921207654,-0.00726027974645604,-0.00262559998845635,-0.00050400058203004,-0.00416279289561516,-0.0114717553998189,-0.0168992183388954
